Nazvanie_knigi;Nazvanie_na_jazyke_originala;Opisanie;ISBN;Avtor;Izdatelstvo;God_vypuska;Kolichestvo_stranic;Perepljot;Serija;Tirazh;Format;Ves;Oblozhka;Kategorija;Podkategoriya_1;Podkategoriya_2;Podkategoriya_3;Podkategoriya_4;Podkategoriya_5;Podkategoriya_6;Podkategoriya_7
1000 французских слов;;Искусство украшения блюд - одна из немаловажных частей кулинарии. Ведь умение сделать даже из обычного бутерброда привлекательное и аппетитное кушанье ценилось всегда и везде. Настоящее издание поможет вам научиться мастерски украшать приготовленные яства, так как содержит множество интересной информации об оформлении блюд с учетом эстетических и художественных требований.   Искусство украшения блюд - одна из немаловажных частей кулинарии. Ведь умение сделать даже из обычного бутерброда привлекательное и аппетитное кушанье ценилось всегда и везде. Настоящее издание поможет вам научиться мастерски украшать приготовленные яства, так как содержит множество интересной информации об оформлении блюд с учетом эстетических и художественных требований. Здесь имеются указания о правильном применении посуды, различных кухонных приспособлений и инструментов и даже рекомендации о сочетании цветов в таком нелегком деле, как кулинария. В книгу включены рецепты блюд, сопровождаемые пошаговыми инструкциями и красочными иллюстрациями с возможными вариантами оформления еды. Все это, особенно если подключить фантазию и изобретательность, непременно позволит любой хозяйке порадовать своих близких изысканными и неповторимыми блюдами, которые станут настоящим украшением стола.;978-5-17-072356-0;Mr. Dick;АСТ;2011;159;;;;70x90/32;0, 105;1000-frantsuzskih-slov_4942664.jpg;Книги;Профессиональная, специальная  и учебная литература;Книги для школы;Справочная литература;Словари;Языковые;;
1000 Идей для продажи. От логотипа до бренда;;"Книга на английском языке. 1000 Идей ДЛЯ продажи. Каталог идей для потрясающих проектов - Все самое новое и интересное. - 1000 великолепных дизайнерских идей.   - Долгожданная книга из всемирно известной серии ""1000"". Индустрия розничных продаж — одна из самых динамично развивающихся областей мировой экономики. Розница должна оперативно реагировать на постоянно изменяющиеся запросы людей. Высокая конкурентность э";9,79E+12;Mr. Dick;РИП-холдинг;2007;159;мягкий;;;84х108/16;;1000-idey-dlya-prodaji-ot-logotipa-do-brenda_5603779.jpg;Книги;Профессиональная, специальная  и учебная литература;Бизнес. Экономика;Маркетинг. Реклама. PR;Брендинг;;;
1000 английских изречений и крылатых выражений;;Искусство украшения блюд - одна из немаловажных частей кулинарии. Ведь умение сделать даже из обычного бутерброда привлекательное и аппетитное кушанье ценилось всегда и везде. Настоящее издание поможет вам научиться мастерски украшать приготовленные яства, так как содержит множество интересной информации об оформлении блюд с учетом эстетических и художественных требований.   Искусство украшения блюд - одна из немаловажных частей кулинарии. Ведь умение сделать даже из обычного бутерброда привлекательное и аппетитное кушанье ценилось всегда и везде. Настоящее издание поможет вам научиться мастерски украшать приготовленные яства, так как содержит множество интересной информации об оформлении блюд с учетом эстетических и художественных требований. Здесь имеются указания о правильном применении посуды, различных кухонных приспособлений и инструментов и даже рекомендации о сочетании цветов в таком нелегком деле, как кулинария. В книгу включены рецепты блюд, сопровождаемые пошаговыми инструкциями и красочными иллюстрациями с возможными вариантами оформления еды. Все это, особенно если подключить фантазию и изобретательность, непременно позволит любой хозяйке порадовать своих близких изысканными и неповторимыми блюдами, которые станут настоящим украшением стола.;9,79E+12;Сухорукова Т.О.;АСТ;2007;222;мягкий;;;84x108/32;0.2;1000-angliyskih-izrecheniy-i-kryilatyih-vyirajeniy_5755005.jpg;Книги;Профессиональная, специальная  и учебная литература;Гуманитарные науки;Языкознание, риторика;Иностранные языки;Языки стран Европы;Английский язык;Учебная литература для изучающих английский язык
Greate Getsby;;"Книга на английском языке. 1000 Идей ДЛЯ продажи. Каталог идей для потрясающих проектов - Все самое новое и интересное. - 1000 великолепных дизайнерских идей.   - Долгожданная книга из всемирно известной серии ""1000"". Индустрия розничных продаж — одна из самых динамично развивающихся областей мировой экономики. Розница должна оперативно реагировать на постоянно изменяющиеся запросы людей. Высокая конкурентность э";9,78E+12;Upton Sinclair;Dodo Press;2007;280;мягкий;;;;0.45 кг;100_10955383.jpg;Книги;Книга по требованию;Художественная литература и сопутствующая тематика;Графические новеллы;Графические новеллы: Литература и мемуары;;;
10 000 советов для тех, кто ждет ребенка;;Искусство украшения блюд - одна из немаловажных частей кулинарии. Ведь умение сделать даже из обычного бутерброда привлекательное и аппетитное кушанье ценилось всегда и везде. Настоящее издание поможет вам научиться мастерски украшать приготовленные яства, так как содержит множество интересной информации об оформлении блюд с учетом эстетических и художественных требований.   Искусство украшения блюд - одна из немаловажных частей кулинарии. Ведь умение сделать даже из обычного бутерброда привлекательное и аппетитное кушанье ценилось всегда и везде. Настоящее издание поможет вам научиться мастерски украшать приготовленные яства, так как содержит множество интересной информации об оформлении блюд с учетом эстетических и художественных требований. Здесь имеются указания о правильном применении посуды, различных кухонных приспособлений и инструментов и даже рекомендации о сочетании цветов в таком нелегком деле, как кулинария. В книгу включены рецепты блюд, сопровождаемые пошаговыми инструкциями и красочными иллюстрациями с возможными вариантами оформления еды. Все это, особенно если подключить фантазию и изобретательность, непременно позволит любой хозяйке порадовать своих близких изысканными и неповторимыми блюдами, которые станут настоящим украшением стола.;9,79E+12;Конева А.Ф.;Харвест;2007;304;твердый;10000 советов;5000;60х90/16;0, 379;10-000-sovetov-dlya-teh-kto-jdet-rebenka_10873089.jpg;Книги;Детская литература. Книги для детей и родителей;Книги для родителей;Беременность. Роды;;;;
1000 идей для украшения стола;;Искусство украшения блюд - одна из немаловажных частей кулинарии. Ведь умение сделать даже из обычного бутерброда привлекательное и аппетитное кушанье ценилось всегда и везде. Настоящее издание поможет вам научиться мастерски украшать приготовленные яства, так как содержит множество интересной информации об оформлении блюд с учетом эстетических и художественных требований.   Искусство украшения блюд - одна из немаловажных частей кулинарии. Ведь умение сделать даже из обычного бутерброда привлекательное и аппетитное кушанье ценилось всегда и везде. Настоящее издание поможет вам научиться мастерски украшать приготовленные яства, так как содержит множество интересной информации об оформлении блюд с учетом эстетических и художественных требований. Здесь имеются указания о правильном применении посуды, различных кухонных приспособлений и инструментов и даже рекомендации о сочетании цветов в таком нелегком деле, как кулинария. В книгу включены рецепты блюд, сопровождаемые пошаговыми инструкциями и красочными иллюстрациями с возможными вариантами оформления еды. Все это, особенно если подключить фантазию и изобретательность, непременно позволит любой хозяйке порадовать своих близких изысканными и неповторимыми блюдами, которые станут настоящим украшением стола.;978-985-16-8003-6;Мартынов В.Л.;Харвест;2010;128;твердый;;;84х108/16;0, 574;1000-idey-dlya-ukrasheniya-stola_4860836.jpg;Книги;Дом. Быт. Досуг. Прикладная литература;Дом. Быт;Кулинария. Напитки;Сервировка и украшение стола;;;
10000 советов. Аквариум;;Для увлекающегося и любознательного человека аквариум - это не только эстетическое удовольствие, но и прекрасная возможность приобретения знаний самого обширного круга, это азарт научного поиска и эксперимента, это маленькое окно в большой, сложный и удивительный мир живых существ.   Так писал об аквариумистике А.С.Полонский. В этой книге приводятся советы по изготовлению и обустройству аквариумов, содержанию и разведению аквариумных рыб и растений, лечению заболеваний рыб. Кратко рассматривается такая тема, как содержание акватеррариумных животных. В конце книги помещен список литературы по этому увлекательному занятию.;9851381640;Белов Н.В.;Харвест;2008;304;твердый;;4000;60x90 1/16;0, 415;10000-sovetov-akvarium_4682457.jpg;Книги;Дом. Быт. Досуг. Прикладная литература;Дом. Быт;Домашние животные. Аквариум;Аквариум. Террариум;;;
1000 идей для рукоделия;;"Книга на английском языке. 1000 Идей ДЛЯ продажи. Каталог идей для потрясающих проектов - Все самое новое и интересное. - 1000 великолепных дизайнерских идей.   - Долгожданная книга из всемирно известной серии ""1000"". Индустрия розничных продаж — одна из самых динамично развивающихся областей мировой экономики. Розница должна оперативно реагировать на постоянно изменяющиеся запросы людей. Высокая конкурентность э";9,79E+12;Корнеева Л.Ю.;АСТ;2010;319;твердый;;;70x90/16;0.6;1000-idey-dlya-rukodeliya_4624043.jpg;Книги;Дом. Быт. Досуг. Прикладная литература;Дом. Быт;Рукоделие;Энциклопедии и справочники по рукоделию;;;
10000 афоризмов на все случаи жизни и по любому поводу;;В этой книге собрано 10000 афоризмов, которые пригодятся вам в любой ситуации.   Для широкого круга читателей.;9,79E+12;Mr. Dick;Владис;2009;640;твердый;;;70х100/16;0.7;10000-aforizmov-na-vse-sluchai-jizni-i-po-lyubomu-povodu_4337698.jpg;Книги;Художественная литература. Публицистика. Мемуары;Юмор. Афоризмы;Афоризмы. Притчи. Цитаты;;;;
10000 советов для девочек;;В книге приводятся советы по изготовлению и обустройству аквариума, содержанию и разведению аквариумных рыб и растений, лечению заболеваний рыб. Кратко рассматривается такая тема, как содержание акватеррариумных животных.;5170316275;Белов Н.В.;АСТ;2005;447;твердый;;;60х90 1/16;0.5;10000-sovetov-dlya-devochek_4961187.jpg;Книги;Детская литература. Книги для детей и родителей;Познавательная литература для детей;Книги для девочек;;;;
